Mouse	Human
Krtap5-1	[KRTAP5-10, KRTAP5-9, KRTAP5-7, KRTAP5-11, KRTAP5-3, KRTAP5-2]
Tcp11x2	[TCP11X1, TCP11X2]
Aatk	[AATK]
Vmn1r239-ps	[VN1R17P]
Anks1b	[ANKS1B]
Aatf	[AATF]
Or4k15	[OR4K15]
Cyp2g1	[CYP2G1P]
Lat2	[LAT2]
Tmtc3	[TMTC3]
Tmtc2	[TMTC2]
Vldlr	[VLDLR]
Tmtc1	[TMTC1]
Abca17	[ABCA17P]
Abca15	[CRYM-AS1]
Abca12	[ABCA12]
Aass	[AASS]
Tmtc4	[TMTC4]
Rcc1l	[RCC1L]
Abca13	[ABCA13]
Klhdc8a	[KLHDC8A]
Anks4b	[ANKS4B]
Garnl3	[GARNL3]
Sirpb1c	[SIRPG, SIRPB1]
Cyp2j5	[CYP2J2]
Sec13	[SEC13]
Cyp2j7	[CYP2J2]
Cyp2j6	[CYP2J2]
Cyp2j9	[CYP2J2]
Cyp2j8	[CYP2J2]
Klhdc8b	[KLHDC8B]
Gpatch2l	[GPATCH2L]
Fabp1	[FABP1]
Camk2n1	[CAMK2N1]
Fabp2	[FABP2]
Fabp3	[FABP3]
Fabp4	[FABP4]
Camk2n2	[CAMK2N2]
Fabp5	[FABP5, FABP5P3]
Fabp6	[FABP6]
Fabp7	[FABP7]
Wasl	[WASL]
Fam47e	[FAM47E-STBD1, FAM47E]
Tram1	[TRAM1]
Fam47c	[FAM47C, FAM47DP, FAM47A, FAM47B]
Mis12	[MIS12]
Klhdc7b	[KLHDC7B]
Klhdc7a	[KLHDC7A]
Fabp9	[FABP9]
Tram2	[TRAM2]
Adra2a	[ADRA2A]
Rtl1	[RTL1]
Adra2c	[ADRA2C]
Clec1a	[CLEC1A]
Adra2b	[ADRA2B]
Rtl9	[RTL9]
Cilp2	[CILP2]
Nup35	[NUP35]
Rtl6	[RTL6]
Rtl5	[RTL5]
Clec1b	[CLEC1B]
Rtl4	[RTL4]
Rtl3	[RTL3]
Nup37	[NUP37]
Dmrt2	[DMRT2]
Dmrt1	[DMRT1]
Dmrt3	[DMRT3]
Pnck	[PNCK]
Adra1b	[ADRA1B]
Adra1a	[ADRA1A]
Adra1d	[ADRA1D]
Chil3	[CHIA]
Nup43	[NUP43]
Lax1	[LAX1]
Chil5	[CHIA]
1110059E24Rik	[C9orf85]
Chil4	[CHIA]
Chil6	[CHIA]
Lekr1	[LEKR1]
Dscam	[DSCAM]
Dkc1	[DKC1]
Dscc1	[DSCC1]
Rtn3	[RTN3]
Hebp1	[HEBP1]
Hebp2	[HEBP2]
Rtn2	[RTN2]
Rtn1	[RTN1]
Ppp1r14bl	[PPP1R14B]
Nup50	[NUP50]
Or56b34	[OR56B4]
Chad	[CHAD]
Aplnr	[APLNR]
Nup54	[NUP54]
Layn	[LAYN]
Nup58	[NUP58]
Rtn4	[RTN4]
Or56b1b	[OR56B1]
Chat	[CHAT]
Mpeg1	[MPEG1]
Isg20	[ISG20]
Rtkn	[RTKN]
Nup62	[NUP62]
Krtap17-1	[KRTAP17-1]
Tdrd12	[TDRD12]
Or56b2j	[OR56B2P, OR56B4]
Azin2	[AZIN2]
Or56b35	[OR56B4]
Magohb	[MAGOHB]
Pds5b	[PDS5B]
Isg15	[ISG15]
Pds5a	[PDS5A]
Azin1	[AZIN1]
Rtp4	[RTP4]
Igsf11	[IGSF11]
Rtp3	[RTP3]
Igsf10	[IGSF10]
Rtp2	[RTP2]
Rtp1	[RTP1]
Clec5a	[CLEC5A]
Abcf2	[ABCF2-H2BK1, ABCF2]
Mea1	[MEA1]
Abcf3	[ABCF3]
Abcf1	[ABCF1]
Igbp1	[IGBP1, IGBP1C]
Clec4n	[CLEC6A]
Pcdha10	[PCDHA12]
Pcdha11	[PCDHA11]
Pcdha12	[PCDHA13]
Clec4d	[CLEC4D]
Cad	[CAD]
Clec4f	[CLEC4F]
Abcg3	[ABCG2]
Abcg4	[ABCG4]
Cilk1	[CILK1]
Clec4e	[CLEC4E]
Abcg1	[ABCG1]
Abcg2	[ABCG2]
AA986860	[C1orf116]
Clec4g	[CLEC4G]
Nim1k	[NIM1K]
Abcg8	[ABCG8]
Enho	[ENHO]
Abcg5	[ABCG5]
Chd1	[CHD1]
Mirlet7a-2	[MIRLET7A2]
Chd2	[CHD2]
Chd3	[CHD3]
Chd4	[CHD4]
Mirlet7a-1	[MIRLET7A1]
Aplp1	[APLP1]
Chd5	[CHD5]
Abca8a	[ABCA8]
Cat	[CAT]
Abca8b	[ABCA8]
Aplp2	[APLP2]
Chd6	[CHD6]
Chd7	[CHD7]
Chd8	[CHD8]
Chd9	[CHD9]
Clec3a	[CLEC3A]
Klhdc10	[KLHDC10]
Clec3b	[CLEC3B]
Cbl	[CBL]
Abcd1	[ABCD1]
Prima1	[PRIMA1]
Mutyh	[MUTYH]
Abcd4	[ABCD4]
Cd2	[CD2]
Pnkd	[PNKD]
Cd4	[CD4]
Trav3n-3	[TRAV5]
Abcd2	[ABCD2]
Abcd3	[ABCD3]
Cd6	[CD6]
Clec2l	[CLEC2L]
Cbs	[CBS]
Cd5	[CD5]
Trat1	[TRAT1]
Cd7	[CD7]
Cd9	[CD9]
Ccp110	[CCP110]
Cyp2b9	[CYP2B6]
Atraid	[ATRAID]
Swt1	[SWT1]
Clec2h	[CLEC2D]
Clec2g	[CLEC2D]
Chdh	[CHDH]
Cck	[CCK]
Trav2	[TRAV4]
Clec2i	[CLEC2D]
Trav1	[TRAV1-1, TRAV1-2]
Abce1	[ABCE1]
Cstdc6	[CSTA]
Clec2d	[CLEC2D]
Cstdc5	[CSTA]
Cstdc4	[CSTA]
Clec2f	[CLEC2A, CLEC2D]
Clec2e	[CLEC2D]
Cstdc3	[CSTA]
Nr2c2ap	[NR2C2AP]
Ccs	[CCS]
Ebna1bp2	[EBNA1BP2]
Cyp2a4	[CYP2A7, CYP2A6, CYP2A13]
Cyp2a5	[CYP2A7, CYP2A6, CYP2A13]
Sertm2	[SERTM2]
Sertm1	[SERTM1]
Chgb	[CHGB]
Afg3l2	[AFG3L2]
Cda	[CDA]
Afg3l1	[AFG3L1P]
Mecr	[MECR]
Gm5434	[UBE2F]
Rpl35	[RPL35]
Rpl36	[RPL36]
Eno1	[ENO1]
Hoatz	[HOATZ]
Rpl37	[RPL37]
Rpl38	[RPL38]
Eno3	[ENO3]
Rpl39	[RPL39]
Eno2	[ENO2]
Eno4	[ENO4]
Gstk1	[GSTK1]
Lmbr1l	[LMBR1L]
Rpl30	[RPL30]
Shmt2	[SHMT2]
Suclg1	[SUCLG1]
Rpl31	[RPL31]
Rpl32	[RPL32]
Shmt1	[SHMT1]
Rpl34	[RPL34]
Suclg2	[SUCLG2]
Nkain4	[NKAIN4]
Med1	[MED1]
Nkain3	[NKAIN3]
Nkain2	[NKAIN2]
Crhbp	[CRHBP]
Nkain1	[NKAIN1]
Kcna7	[KCNA7]
Kcna6	[KCNA6]
Pnkp	[PNKP]
Kcna5	[KCNA5]
Kcna4	[KCNA4]
Kcna3	[KCNA3]
Rpl24	[RPL24]
Med8	[MED8]
Kcna2	[KCNA2]
Med9	[MED9]
Kcna1	[KCNA1]
Rpl26	[RPL26]
Cel	[CEL]
Rpl27	[RPL27]
Abat	[ABAT]
Rpl28	[RPL28]
Med4	[MED4]
Dkk1	[DKK1]
Rpl29	[RPL29]
Med6	[MED6]
Dkk2	[DKK2]
Dkk3	[DKK3]
Med7	[MED7]
Dkk4	[DKK4]
Chfr	[CHFR]
Zfp780b	[ZNF780B]
Rpl21	[RPL21]
Rpl22	[RPL22]
Rpl23	[RPL23]
Ube2l6	[UBE2L6]
Cfb	[CFB]
Ube2l3	[UBE2L3]
Rab22a	[RAB22A]
Chga	[CHGA]
Cfd	[CFD]
Meg3	[MEG3]
As3mt	[AS3MT]
Cfh	[CFH]
Pnp2	[PNP]
Cfi	[CFI]
Gm5414	[KRT6C, KRT6B, KRT6A]
Vopp1	[VOPP1]
Slco2a1	[SLCO2A1]
Gstm7	[GSTM2]
Cfp	[CFP]
Gstm5	[GSTM3]
Gstm6	[GSTM1]
C2	[C2]
C3	[C3]
Gstm3	[GSTM1]
Gstm4	[GSTM4]
Ar	[AR]
Gstm1	[GSTM1, GSTM5]
Gstm2	[GSTM1, GSTM5]
C6	[C6]
Pnoc	[PNOC]
C7	[C7]
C9	[C9]
B3glct	[B3GLCT]
Cga	[CGA]
Or2at4	[OR2AT4]
Rpl3l	[RPL3L]
Cdkn2aipnl	[CDKN2AIPNL]
Pnmt	[PNMT]
Pno1	[PNO1]
Spaca4	[SPACA4]
Spaca5	[SPACA5B, SPACA5]
Slco2b1	[SLCO2B1]
Spaca3	[SPACA3]
Cgn	[CGN]
Spaca9	[SPACA9]
Terf2ip	[TERF2IP]
Spaca6	[SPACA6]
Spaca7	[SPACA7]
Spaca1	[SPACA1]
Ppwd1	[PPWD1]
Rttn	[RTTN]
Nat8f5	[NAT8B, NAT8]
Nat8f6	[NAT8B, NAT8]
Nat8f3	[NAT8B, NAT8]
Nat8f4	[NAT8B, NAT8]
Supt20	[SUPT20H]
Nat8f1	[NAT8B]
Zar1l	[ZAR1L]
Mei1	[MEI1]
Nat8f2	[NAT8B, NAT8]
Gm5478	[KRT6C, KRT6B, KRT6A]
Mei4	[MEI4]
Chm	[CHM]
G0s2	[G0S2]
Kcnd3	[KCND3]
Poglut3	[POGLUT3]
Sft2d2	[SFT2D2]
Kcnd2	[KCND2]
Sft2d1	[SFT2D1]
Kcnd1	[KCND1]
Cp	[CP]
Mnat1	[MNAT1]
Nat8f7	[NAT8B]
Cs	[CS]
Gsto1	[GSTO1]
Poglut1	[POGLUT1]
Gsto2	[GSTO2]
Poglut2	[POGLUT2]
Rab27a	[RAB27A]
Sp140l2	[SP140]
Ube2g2	[UBE2G2]
Ube2g1	[UBE2G1]
Rab27b	[RAB27B]
Sp140l1	[SP140]
Cic	[CIC]
Sdad1	[SDAD1]
Mtnr1a	[MTNR1A]
Gm5485	[C3orf85]
Orai3	[ORAI3]
Mtnr1b	[MTNR1B]
Orai1	[ORAI1]
Orai2	[ORAI2]
Kcne5	[KCNE5]
Kcne4	[KCNE4]
Chl1	[CHL1]
Agtr2	[AGTR2]
Kcne3	[KCNE3]
F2	[F2]
Mefv	[MEFV]
Kcne2	[KCNE2]
F3	[F3]
Pdzph1	[PDZPH1P]
Kcne1	[KCNE1]
Spdef	[SPDEF]
F5	[F5]
Cit	[CIT]
1700008O03Rik	[C19orf81]
F7	[F7]
F8	[F8]
F9	[F9]
Gstp2	[GSTP1]
Gstp3	[GSTP1]
Gstp1	[GSTP1]
Ly6g6c	[LY6G6C]
Pnpo	[PNPO]
Chka	[CHKA]
Chkb	[CHKB]
Ly6g6f	[LY6G6F]
Ly6g6e	[LY6G6E]
Ly6g6d	[LY6G6D]
Chml	[CHML]
Rpl13	[RPL13]
Rpl14	[RPL14]
Kcnb2	[KCNB2]
Rpl15	[RPL15]
Kcnb1	[KCNB1]
Rpl17	[RPL17]
Rpl18	[RPL18]
Rpl19	[RPL19]
Scaper	[SCAPER]
Akirin1	[AKIRIN1]
Akirin2	[AKIRIN2]
Ptafr	[PTAFR]
Rpl10	[RPL10]
Rpl11	[RPL11]
Rpl12	[RPL12]
Ly6g5b	[LY6G5B]
Ckb	[CKB]
Ly6g5c	[LY6G5C]
Gm4131	[C13orf42]
Spmip11	[SPMIP11]
Spmip10	[SPMIP10]
Ckm	[CKM]
Chn1	[CHN1]
Kcnc4	[KCNC4]
Chn2	[CHN2]
Kcnc3	[KCNC3]
Kcnc2	[KCNC2]
Kcnc1	[KCNC1]
Mitd1	[MITD1]
Supt16	[SUPT16H]
Abi3	[ABI3]
Abi2	[ABI2]
Ensa	[ENSA]
Abi1	[ABI1]
Gc	[GC]
Ube2j2	[UBE2J2]
Ube2j1	[UBE2J1]
Gh	[GH2, GH1, CSH2, CSH1, CSHL1]
Leng1	[LENG1]
Hoxaas3	[HOXA-AS3]
Gk	[GK]
Clasp1	[CLASP1]
Kcnh8	[KCNH8]
Clasp2	[CLASP2]
Kcnh7	[KCNH7]
Kcnh6	[KCNH6]
Kcnh5	[KCNH5]
Clu	[CLU]
Kcnh4	[KCNH4]
Kcnh3	[KCNH3]
Kcnh2	[KCNH2]
Pias3	[PIAS3]
Or2aj5	[OR2AJ1]
Pias4	[PIAS4]
Or2aj4	[OR2AJ1]
Melk	[MELK]
Or2aj6	[OR2AJ1]
Lrtm1	[LRTM1]
Lrtm2	[LRTM2]
Chpf	[CHPF]
Hc	[C5]
Pias1	[PIAS1]
Pias2	[PIAS2]
Men1	[MEN1]
Mir1264	[MIR1264]
Ldlrap1	[LDLRAP1]
Chp1	[CHP1]
Nsmce4a	[NSMCE4A]
Chp2	[CHP2]
Hp	[HP, HPR]
Mir125a	[MIR125A]
Hr	[HR]
Ubiad1	[UBIAD1]
Rnf41	[RNF41]
Kcnj3	[KCNJ3]
Rnf40	[RNF40]
Kcnj2	[KCNJ2]
Kcnj1	[KCNJ1]
Dgat2	[DGAT2]
2310033P09Rik	[C1orf35]
Dgat1	[DGAT1]
Gstt4	[GSTT4]
Gstt2	[GSTT2, GSTT2B]
Leng8	[LENG8]
Nhp2	[NHP2]
Leng9	[LENG9]
Gstt1	[GSTT1]
Zc3h11a	[ZC3H11B, ZC3H11A]
Rnf44	[RNF44]
Lenep	[LENEP]
Rnf43	[RNF43]
Ik	[IK]
Eny2	[ENY2]
Cnp	[CNP]
Dmtf1	[DMTF1]
Ube2v2	[UBE2V2]
Ube2v1	[UBE2V1, PEDS1-UBE2V1]
Sdr39u1	[SDR39U1]
Fam32a	[FAM32A]
Kcnf1	[KCNF1]
Mir1247	[MIR1247]
Mir1249	[MIR1249]
Chrd	[CHRD]
Tiparp	[TIPARP]
Abl2	[ABL2]
Abl1	[ABL1]
Neat1	[NEAT1]
Npas4	[NPAS4]
Npas3	[NPAS3]
Npas2	[NPAS2]
Npas1	[NPAS1]
1700019D03Rik	[C2orf88]
Kcng4	[KCNG4]
Kcng3	[KCNG3]
Kcng2	[KCNG2]
Kcng1	[KCNG1]
Kcnh1	[KCNH1]
Or2ak6	[OR2AK2]
Or2ak5	[OR2AK2]
Ntng2	[NTNG2]
Ntng1	[NTNG1]
Supt4b	[SUPT4H1]
Or2ak7	[OR2AK2]
P4ha1	[P4HA1]
Supt4a	[SUPT4H1]
P4ha2	[P4HA2]
Ireb2	[IREB2]
Cpd	[CPD]
P4ha3	[P4HA3]
Or2ak4	[OR2AK2]
Cpe	[CPE]
Mir1251	[MIR1251]
Gm45871	[ZNF254, ZNF28, ZNF595, ZNF493, ZNF728, ZNF93, ZNF726, ZNF615, ZNF611, ZNF732, ZNF676, ZNF234, ZNF432]
Fcgbpl1	[FCGBP]
Kl	[KL]
Cpm	[CPM]
Pde10a	[PDE10A]
Awat2	[AWAT2]
Cr2	[CR2]
Awat1	[AWAT1]
Cpq	[CPQ]
Drap1	[DRAP1]
Rnf17	[RNF17]
Mepe	[MEPE]
Cpz	[CPZ]
Clasrp	[CLASRP]
Bcat1	[BCAT1]
Bcat2	[BCAT2]
Ky	[KY]
Bcas3	[BCAS3]
Mir1224	[MIR1224]
Rnf14	[RNF14]
Rnf13	[RNF13]
Rnf11	[RNF11]
Rnf10	[RNF10]
Gm20541	[ZNF124]
Ube2q2	[UBE2Q2]
Ube2q1	[UBE2Q1]
Pianp	[PIANP]
Kcnn4	[KCNN4]
Kcnn3	[KCNN3]
Mb	[MB]
Kcnn2	[KCNN2]
Kcnn1	[KCNN1]
Crh	[CRH]
Crk	[CRK]
Mir1231	[MIR1231]
Crp	[CRP]
Gstz1	[GSTZ1]
Wbp2	[WBP2]
Puf60	[PUF60]
Rnf207	[RNF207]
Ube2r2	[UBE2R2]
Wbp1	[WBP1]
Il21r	[IL21R]
Wbp4	[WBP4]
Rnf39	[RNF39]
Crx	[CRX]
Il22b	[IL22]
Kcnj9	[KCNJ9]
Spdl1	[SPDL1]
Kcnj8	[KCNJ8]
Kcnj6	[KCNJ6]
Kcnj5	[KCNJ5]
Bcar1	[BCAR1]
Kcnj4	[KCNJ4]
Kcnk4	[KCNK4]
Kcnk3	[KCNK3]
Alas1	[ALAS1]
Kcnk2	[KCNK2]
Alas2	[ALAS2]
Kcnk1	[KCNK1]
Rnf38	[RNF38]
Rnf208	[RNF208]
Csk	[CSK]
Trdj2	[TRDJ3]
Rnf34	[RNF34]
Supt7l	[SUPT7L]
Csl	[CS]
Rnf32	[RNF32]
Rnf31	[RNF31]
Rpl7a	[RPL7A]
Ptar1	[PTAR1]
Pde11a	[PDE11A]
Dram1	[DRAM1]
Gm6710	[ZNF17, ZNF442]
Dram2	[DRAM2]
Kcnk9	[KCNK9]
Kcnk7	[KCNK7]
Kcnk6	[KCNK6]
Rabgap1l	[RABGAP1L]
Bcas1	[BCAS1]
Bcas2	[BCAS2]
Kcnk5	[KCNK5]
Bcar3	[BCAR3]
H2-DMb2	[HLA-DMB]
Cth	[CTH]
H2-DMb1	[HLA-DMB]
Gpkow	[GPKOW]
Rnf26	[RNF26]
Rnf25	[RNF25]
Chuk	[CHUK]
Rnf24	[RNF24]
Gm44504	[UBL4A]
Rpl6l	[RPL6]
Rnf20	[RNF20]
Bet1	[BET1]
H4c8	[H4C9, H4C5]
Rnf103	[RNF103]
Tmem69	[TMEM69]
H4c9	[H4C16, H4C5]
Tmem67	[TMEM67]
Tmem68	[TMEM68]
Tmem65	[TMEM65]
Tunar	[TUNAR]
Spdya	[SPDYA]
Kcnq5	[KCNQ5]
Kcnq4	[KCNQ4]
Kcnq3	[KCNQ3]
Il23r	[IL23R]
Kcnq2	[KCNQ2]
Tmem74	[TMEM74]
Zbtb1	[ZBTB1]
Kcnq1	[KCNQ1]
Tmem72	[TMEM72]
Zbtb4	[ZBTB4]
AW554918	[KIAA1328]
Tmem70	[TMEM70]
Ndufa4l2	[NDUFA4L2]
Tmem71	[TMEM71]
Zbtb5	[ZBTB5]
Zbtb2	[ZBTB2]
Zbtb3	[ZBTB3]
Abt1	[ABT1]
Cfdp1	[CFDP1]
Pkhd1	[PKHD1]
H2-M10.3	[HLA-B, HLA-C, HLA-E]
Entrep1	[ENTREP1]
H2-M10.4	[HLA-B, HLA-C, HLA-F, HLA-G, HLA-E]
Tmem79	[TMEM79]
H2-M10.1	[HLA-B, HLA-C, HLA-F, HLA-G, HLA-E]
Vps13a	[VPS13A]
H2-M10.2	[HLA-B, HLA-C, HLA-F, HLA-G, HLA-E]
Vps13b	[VPS13B]
Vps13c	[VPS13C]
Vps13d	[VPS13D]
Il23a	[IL23A]
Mesd	[MESD]
Abra	[ABRA]
Or11h23	[OR11H7]
H2-M10.5	[HLA-B, HLA-C, HLA-E]
H4c2	[H4C14, H4C5]
H2-M10.6	[HLA-B, HLA-C, HLA-F, HLA-G, HLA-E]
H4c1	[H4C15, H4C5]
Guf1	[GUF1]
H4c4	[H4C1, H4C5]
Tmem81	[TMEM81]
Mest	[MEST]
H4c3	[H4C6, H4C5]
Tmem82	[TMEM82]
H4c6	[H4C11, H4C5]
Tmem80	[TMEM80]
Bex4	[BEX4]
Rnf125	[RNF125]
Rnf126	[RNF126]
Bex3	[BEX3]
Mrnip	[MRNIP]
Bex2	[BEX1]
Rnf123	[RNF123]
Gng10	[GNG10]
Bex1	[BEX2, BEX1]
Tmem89	[TMEM89]
Ninj1	[NINJ1]
Ninj2	[NINJ2]
Tmem88	[TMEM88]
Rnf128	[RNF128]
Itm2c	[ITM2C]
Itm2b	[ITM2B]
Itm2a	[ITM2A]
Rnf121	[RNF121]
Rnf122	[RNF122]
Trdv5	[TRDV3]
Oas1g	[OAS1]
Oas1f	[OAS1]
Trdv4	[TRDV2]
Oas1e	[OAS1]
Oas1d	[OAS1]
Oas1c	[OAS1]
Or5m11	[OR5M11]
Trdv1	[TRAV30, TRAV34]
Oas1b	[OAS1]
Or5m10	[OR5M10, OR5M1]
Oas1a	[OAS1]
Tmem97	[TMEM97]
Tcirg1	[TCIRG1]
Adarb1	[ADARB1]
Tmem94	[TMEM94]
Tmem95	[TMEM95]
Tmem92	[TMEM92]
Adarb2	[ADARB2]
Tmem91	[TMEM91]
Oas1h	[OAS1]
Rnf114	[RNF114]
Rnf115	[RNF115]
Zbtb9	[ZBTB9]
Rnf112	[RNF112]
Zbtb6	[ZBTB6]
Tmem98	[TMEM98]
Gpm6b	[GPM6B]
Rnf111	[RNF111]
Tmem8b	[TMEM8B]
BC005537	[C6orf62]
Gpm6a	[GPM6A]
Gng11	[GNG11]
Gng12	[GNG12]
Gng13	[GNG13]
Bex6	[BEX4]
Gng14	[GNG14]
Rnf148	[RNF148]
Rnf145	[RNF145]
Tmem25	[TMEM25]
Tmem26	[TMEM26]
Rnf146	[RNF146]
Rnf149	[RNF149]
Ola1	[OLA1]
Or11h4b	[OR11H4]
Rnf141	[RNF141]
Tmem29	[FAM156B, FAM156A]
Hbb-bh1	[HBG2, HBG1, HBE1]
Hbb-bh2	[HBB, HBD]
Tg	[TG]
Hbb-bh0	[HBG2, HBG1]
Fkbp2	[FKBP2]
Th	[TH]
Guk1	[GUK1]
Ssna1	[SSNA1]
Kcnu1	[KCNU1]
Wdr87-ps	[WDR87]
Castor2	[CASTOR2, CASTOR3P]
Tmem37	[TMEM37]
Rnf135	[RNF135]
Soat2	[SOAT2]
Rnf138	[RNF138]
Tmem33	[TMEM33]
Rnf139	[RNF139]
Soat1	[SOAT1]
Fkbp7	[FKBP7]
Rnf7l	[RNF7]
Bmerb1	[BMERB1]
Fkbp8	[FKBP8]
Dio3os	[DIO3OS]
Fkbp9	[FKBP9]
Fkbp3	[FKBP3]
Fkbp4	[FKBP4]
Rnf133	[RNF133]
Fkbp5	[FKBP5]
Rnf130	[RNF130]
Fkbp6	[FKBP6]
Poc5	[POC5]
Frg1	[FRG1]
Tmem42	[TMEM42]
Mss51	[MSS51]
Mir1193	[MIR1179]
Ubxn2b	[UBXN2B]
Ubxn2a	[UBXN2A]
Tmem40	[TMEM40]
Pakap	[PALM2AKAP2]
Mir1199	[MIR1199]
Castor1	[CASTOR1]
Kcnv2	[KCNV2]
Kcnv1	[KCNV1]
Mir1197	[MIR1197]
Klhl8	[KLHL8]
Rnf169	[RNF169]
Klhl7	[KLHL7]
Olah	[OLAH]
Klhl6	[KLHL6]
Rnf167	[RNF167]
Tmem47	[TMEM47]
Klhl5	[KLHL5]
Rnf168	[RNF168]
Or5m3b	[OR5M3]
Tmem43	[TMEM43]
Tmem44	[TMEM44]
Klhl9	[KLHL9]
Rnf166	[RNF166]
Podn	[PODN]
Or51q1c	[OR51Q1]
Fkbpl	[FKBPL]
Tmem52	[TMEM52]
Tmem53	[TMEM53]
Kcns3	[KCNS3]
Entrep3	[ENTREP3]
Kcns2	[KCNS2]
Zc3h12d	[ZC3H12D]
Tmem51	[TMEM51]
Entrep2	[ENTREP2]
Kcns1	[KCNS1]
Zc3h12c	[ZC3H12C]
Tfap4	[TFAP4]
Zc3h12b	[ZC3H12B]
Klhl4	[KLHL4]
Klhl3	[KLHL3]
Zc3h12a	[ZC3H12A]
Klhl2	[KLHL2]
Klhl1	[KLHL1]
Tmem59	[TMEM59]
Rnf157	[RNF157]
Kcnrg	[KCNRG]
Tmem54	[TMEM54]
Rnf150	[RNF150]
Rnf151	[RNF151]
Lbx1	[LBX1]
Qrfp	[QRFP]
Rnf152	[RNF152]
B230307C23Rik	[ZNF788P]
Lbx2	[LBX2]
Mybpc1	[MYBPC1]
Mybpc2	[MYBPC2]
Mybpc3	[MYBPC3]
Dlc1	[DLC1]
Tmem64	[TMEM64]
Tmem61	[TMEM61]
Dlat	[DLAT]
Tmem62	[TMEM62]
Kcnt2	[KCNT2]
1700001O22Rik	[C9orf50]
Kcnt1	[KCNT1]
Tmem60	[TMEM60]
Aldh1a2	[ALDH1A2]
Aldh1a1	[ALDH1A1]
Aldh1a3	[ALDH1A3]
Rnf183	[RNF183]
Aldh1a7	[ALDH1A1]
Rnf181	[RNF181]
Rnf182	[RNF182]
Brms1	[BRMS1]
Rnf187	[RNF187]
Rnf185	[RNF185]
Rnf186	[RNF186]
Gng5c	[GNG5]
Xk	[XK]
Htra4	[HTRA4]
Htra3	[HTRA3]
Eogt	[EOGT]
Htra2	[HTRA2]
Htra1	[HTRA1]
Gpr31b	[GPR31]
Dhdds	[DHDDS]
Exoc3	[EXOC3]
Exoc4	[EXOC4]
Txndc5	[TXNDC5]
Exoc5	[EXOC5]
Rnf170	[RNF170]
Txndc8	[TXNDC8]
Exoc6	[EXOC6]
Pibf1	[PIBF1]
Txndc2	[TXNDC2]
Exoc1	[EXOC1]
Exoc2	[EXOC2]
Gulo	[GULOP]
Exoc7	[EXOC7]
Pam16	[PAM16]
Exoc8	[EXOC8]
Txndc9	[TXNDC9]
Cib1	[CIB1]
Rnf180	[RNF180]
Ube2d3	[UBE2D3]
Cib2	[CIB2]
Cib3	[CIB3]
Ube2d1	[UBE2D1]
Cib4	[CIB4]
Pofut1	[POFUT1]
Pofut2	[POFUT2]
Rnf19a	[RNF19A]
Stambp	[STAMBP]
Nid2	[NID2]
Nid1	[NID1]
Lman2l	[LMAN2L]
Ube2e3	[UBE2E3]
Ube2e2	[UBE2E2]
Ube2e1	[UBE2E1]
Rnf19b	[RNF19B]
Snap91	[SNAP91]
Tmem17	[TMEM17]
Armc10	[ARMC10]
Pogk	[POGK]
Tmem11	[TMEM11]
Ccdc102a	[CCDC102A]
Armc12	[ARMC12]
Tmem18	[TMEM18]
Tmem19	[TMEM19]
Dap	[DAP]
Dlg1	[DLG1]
Cyp46a1	[CYP46A1]
Dlg2	[DLG2]
Dao	[DAO]
Pogz	[POGZ]
Dlg3	[DLG3]
Dlg4	[DLG4]
Dlg5	[DLG5]
Slc6a20a	[SLC6A20]
Slc6a20b	[SLC6A20]
Bspry	[BSPRY]
Ighg2c	[IGHG3, IGHG4, IGHG1, IGHG2]
Ighg2a	[IGHG3, IGHG4, IGHG1, IGHG2]
Ighg2b	[IGHG3, IGHG4, IGHG1, IGHG2]
Gfod1	[GFOD1]
Gfod2	[GFOD2]
Cdk5rap2	[CDK5RAP2]
Cdk5rap3	[CDK5RAP3]
Bfar	[BFAR]
Dbi	[DBI]
Dbh	[DBH]
Cdk5rap1	[CDK5RAP1]
Dbp	[DBP]
Dbt	[DBT]
Dapp1	[DAPP1]
Mybphl	[MYBPHL]
Dcc	[DCC]
Resp18	[RESP18]
Mybl2	[MYBL2]
Dck	[DCK]
Dcn	[DCN]
Mybl1	[MYBL1]
Piwil4	[PIWIL4]
Piwil2	[PIWIL2]
Piwil1	[PIWIL1]
Dct	[DCT]
Lman1l	[LMAN1L]
Dcx	[DCX]
Pon3	[PON3]
Ddc	[DDC]
Polq	[POLQ]
Mir30c-2	[MIR30C2]
Mir30c-1	[MIR30C1]
Pon1	[PON1]
Nifk	[NIFK]
Pon2	[PON2]
Polm	[POLM]
Poln	[POLN]
Rgs20	[RGS20]
Smim41	[SMIM41]
Rgs21	[RGS21]
Smim40	[SMIM40]
Rgs22	[RGS22]
Smim45	[SMIM45]
Dll1	[DLL1]
Ddo	[DDO]
Dll3	[DLL3]
Ssx2ip	[SSX2IP]
Ddn	[DDN]
Dll4	[DLL4]
Rgs17	[RGS17]
Smim38	[SMIM38]
Rgs18	[RGS18]
Rgs19	[RGS19]
Smim36	[SMIM36]
Pomc	[POMC]
Smim35	[SMIM35]
Rgs13	[RGS13]
Rgs14	[RGS14]
Ddt	[DDT, DDTL]
Rgs16	[RGS16]
Golim4	[GOLIM4]
Pomk	[POMK]
Aldh1b1	[ALDH1B1]
Krtap2-4	[KRTAP2-4, KRTAP2-3, KRTAP2-2]
Pmp22	[PMP22]
Rgs10	[RGS10]
