Regulator	RegulatoryEffect	TargetGene
AKR1C4	upregulates-expression	HNF4G
AKR1C4	upregulates-expression	HNF4A
SP3	downregulates-expression	E2F1
SP1	downregulates-expression	E2F7
THRA	downregulates-expression	SERPINC1
GATA1	upregulates-expression	MPL
HDAC4	downregulates-expression	RUNX2
RING1	downregulates-expression	CDC7
CREBBP	upregulates-expression	CYP1A1
MAMLD1	upregulates-expression	ACTA2
RARA	upregulates-expression	CRABP1
CRABP2	upregulates-expression	RARA
EGR1	upregulates-expression	HYAL1
LEF1	upregulates-expression	OCA2
ING2	downregulates-expression	BCL2
ING4	downregulates-expression	BCL2
PRDM1	downregulates-expression	LMO2
T	upregulates-expression	CTNNB1
PPP2R4	downregulates-expression	MYC
ECT2	upregulates-expression	E2F1
DBP	upregulates-expression	CYP3A4
SMTN	downregulates-expression	NOTCH1
EZH2	upregulates-expression	CCNE1
EZH2	upregulates-expression	CCND1
USF2	upregulates-expression	ATP5F1A
RXRA	upregulates-expression	TIAM2
TBP	upregulates-expression	TFF1
NANOG	downregulates-expression	CDK6
EP300	upregulates-expression	BCL2
GATA3	upregulates-expression	MYB
MYB	upregulates-expression	GATA3
MYC	upregulates-expression	GATA4
ADH1B	upregulates-expression	CEBPA
ADH1A	upregulates-expression	CEBPB
ADH1B	upregulates-expression	CEBPB
ADH1C	upregulates-expression	CEBPB
ESRRG	upregulates-expression	NR0B1
AR	downregulates-expression	AKR1C3
SIRT1	downregulates-expression	XPC
KLF4	downregulates-expression	IFITM3
ITGAX	upregulates-expression	CEBPA
CEBPA	upregulates-expression	ITGAX
TLX1	upregulates-expression	MYC
VDR	downregulates-expression	DKK4
GLI1	upregulates-expression	PDGFRA
GLI2	upregulates-expression	PDGFRA
MCM7	upregulates-expression	E2F4
MCM5	upregulates-expression	E2F2
MCM6	upregulates-expression	E2F1
MCM7	upregulates-expression	E2F1
MCM5	upregulates-expression	E2F3
MCM6	upregulates-expression	E2F2
MCM7	upregulates-expression	E2F2
MCM8	upregulates-expression	E2F1
MCM5	upregulates-expression	E2F4
MCM6	upregulates-expression	E2F3
MCM7	upregulates-expression	E2F3
E2F1	upregulates-expression	MCM3
E2F2	upregulates-expression	MCM3
E2F3	upregulates-expression	MCM3
MCM5	upregulates-expression	E2F1
FOXM1	upregulates-expression	NEK2
FOXA2	upregulates-expression	CEBPA
IRF9	upregulates-expression	CDKN1A
IRF9	upregulates-expression	CDKN1B
IRF1	upregulates-expression	CDKN1B
CARM1	upregulates-expression	ANGPTL4
REL	upregulates-expression	SOD2
CDX2	upregulates-expression	UGT1A10
FHL2	upregulates-expression	KLK3
SPP1	upregulates-expression	NR4A2
PTPN11	upregulates-expression	CCND3
PML	upregulates-expression	CASP3
MTA2	downregulates-expression	FSHR
MAFG	upregulates-expression	MMP1
CREB1	upregulates-expression	MUC5AC
SOX9	upregulates-expression	NR5A1
RXRG	upregulates-expression	SREBF1
SREBF1	upregulates-expression	RXRA
RXRA	upregulates-expression	SREBF1
RXRB	upregulates-expression	SREBF1
HOXB7	upregulates-expression	VEGFA
WT1	downregulates-expression	AR
EBP	upregulates-expression	HNF4A
PPARG	upregulates-expression	VLDLR
POU5F1	upregulates-expression	SALL1
POU5F1	upregulates-expression	SALL4
TP53	upregulates-expression	PYCARD
PRDM1	downregulates-expression	GCSAM
LEF1	downregulates-expression	CDKN2A
SIRT1	downregulates-expression	WRN
HRAS	downregulates-expression	TP53
SRF	upregulates-expression	SMN1
HELZ2	upregulates-expression	ANKRD1
USF1	upregulates-expression	SERBP1
MAPK14	upregulates-expression	RAB7A
SPIB	downregulates-expression	IRF7
TBX21	upregulates-expression	CXCR3
LEF1	upregulates-expression	CTNNB1
CTNNB1	upregulates-expression	LEF1
JUN	upregulates-expression	LGALS3
POU4F1	downregulates-expression	BAX
SP1	upregulates-expression	SOD1
RUNX3	upregulates-expression	FADD
TBX21	downregulates-expression	IL13
ATM	downregulates-expression	SLC2A1
MECP2	upregulates-expression	PTPN4
TP53	upregulates-expression	PLAGL1
F3	upregulates-expression	NFKB1
RB1	downregulates-expression	E2F1
RB1	downregulates-expression	E2F2
RB1	downregulates-expression	E2F3
E2F1	upregulates-expression	AR
STAM	upregulates-expression	MYC
REST	downregulates-expression	BDNF
FOSL1	upregulates-expression	CTNNB1
EZH2	downregulates-expression	SSTR1
MYCN	downregulates-expression	CLU
RXRG	upregulates-expression	NRIP1
BRCA1	downregulates-expression	HSPA5
RXRA	upregulates-expression	NRIP1
RXRB	upregulates-expression	NRIP1
HELZ2	upregulates-expression	G0S2
NFKB1	upregulates-expression	TF
NR2F2	downregulates-expression	PPARG
TP63	upregulates-expression	TOP2A
SP1	upregulates-expression	SOX9
ATM	downregulates-expression	VEGFA
SRY	upregulates-expression	SOX9
RUNX1	downregulates-expression	SOCS4
AR	downregulates-expression	UCN
RUNX1	downregulates-expression	SOCS3
YBX1	upregulates-expression	PTPN1
OPRM1	upregulates-expression	YY1
JUND	upregulates-expression	GAST
ETS1	upregulates-expression	CHUK
CHUK	upregulates-expression	ETS1
MYB	downregulates-expression	ICAM1
E2F5	downregulates-expression	MYC
TCEA1	upregulates-expression	ATM
ESR1	downregulates-expression	NQO1
TCEA1	upregulates-expression	ATR
STAT5A	downregulates-expression	BRWD1
STAT5B	downregulates-expression	BRWD1
BCL2	upregulates-expression	MYC
BCL6	upregulates-expression	MYC
MTOR	upregulates-expression	PPARGC1A
LBX1	upregulates-expression	CTNNB1
TGS1	upregulates-expression	FHL2
KDM3A	upregulates-expression	KLK3
TWIST1	upregulates-expression	NR2F1
TWIST2	upregulates-expression	NR2F1
MEN1	downregulates-expression	GAST
KDM1A	upregulates-expression	KLK3
CDK19	downregulates-expression	LEP
FADD	downregulates-expression	CTNNB1
KDM4C	upregulates-expression	KLK2
KDM4C	upregulates-expression	KLK3
ERG	downregulates-expression	EPB41L3
E2F1	upregulates-expression	MEFV
TYK2	upregulates-expression	NOS2
JUN	upregulates-expression	BEX2
PPARG	upregulates-expression	CDX1
CDX1	upregulates-expression	PPARG
RELA	upregulates-expression	NAMPT
HIF1A	upregulates-expression	NDRG1
CDC45	upregulates-expression	E2F1
E2F1	upregulates-expression	CDC45
NRF1	upregulates-expression	ALAS1
CREBBP	upregulates-expression	IL2RA
TAF9	upregulates-expression	CAD
SPDEF	downregulates-expression	PLAUR
HELZ2	upregulates-expression	SLC27A1
PPRC1	upregulates-expression	TFAM
MTSS1	upregulates-expression	FOXA2
HMGA2	upregulates-expression	COL11A2
TOP2B	upregulates-expression	RUNX1
RBBP5	upregulates-expression	GP1BA
FOXM1	downregulates-expression	CDKN2A
NFKB1	upregulates-expression	HYAL1
PAX6	upregulates-expression	SIX3
TP53	downregulates-expression	CHEK1
CHEK1	downregulates-expression	TP53
TP53	downregulates-expression	CHEK2
NR1H2	upregulates-expression	ABCA1
ABCA1	upregulates-expression	NR1H2
NR1H3	upregulates-expression	ABCA1
ABCA1	upregulates-expression	NR1H3
FLI1	upregulates-expression	TERT
NR1H4	upregulates-expression	ABCB4
FOXG1	downregulates-expression	CDKN1A
CHD9	upregulates-expression	SLC27A1
NR1I2	upregulates-expression	ABCB1
NCOA1	upregulates-expression	PCK1
NCOA1	upregulates-expression	PCK2
NCOA2	upregulates-expression	PCK1
NCOA3	upregulates-expression	PCK1
NR2F1	downregulates-expression	LHCGR
NELFE	upregulates-expression	RAD51D
NELFA	upregulates-expression	RAD51D
NELFB	upregulates-expression	RAD51D
NR1H2	upregulates-expression	ABCG1
ABCG1	upregulates-expression	NR1H2
NR1H3	upregulates-expression	ABCG1
ABCG1	upregulates-expression	NR1H3
NR1H2	upregulates-expression	ABCG4
NR2F6	downregulates-expression	LHCGR
NPM1	downregulates-expression	NOP2
RELA	downregulates-expression	ABCA1
ABCG8	upregulates-expression	NR1H3
NR1H3	upregulates-expression	ABCG4
ABCG5	upregulates-expression	NR1H2
ABCG5	upregulates-expression	NR1H3
ABCG8	upregulates-expression	NR1H2
NR0B2	downregulates-expression	E2F1
MYC	upregulates-expression	IREB2
RUVBL1	upregulates-expression	GPAM
RUVBL2	upregulates-expression	GPAM
MMP13	upregulates-expression	JUND
HNF4A	upregulates-expression	GCK
STAT1	upregulates-expression	TP53
E2F1	upregulates-expression	SIRT1
STAT4	upregulates-expression	IL18R1
SALL4	upregulates-expression	HOXA9
ATM	downregulates-expression	TERF1
LMO2	downregulates-expression	GYPA
RUNX2	upregulates-expression	COL1A1
UBE2B	upregulates-expression	TCF7L2
HIC1	downregulates-expression	VLDLR
TP73	upregulates-expression	FASN
MLXIPL	upregulates-expression	ACACA
MLXIPL	upregulates-expression	ACACB
ATF2	upregulates-expression	PCK1
TP63	upregulates-expression	FASN
MAX	upregulates-expression	IREB2
AR	downregulates-expression	VIM
PPARG	upregulates-expression	CD83
PTGS2	upregulates-expression	SREBF1
PTGS2	upregulates-expression	SREBF2
SP1	downregulates-expression	HYAL1
HOXA9	upregulates-expression	MYCN
PPARG	upregulates-expression	CD36
PPARA	upregulates-expression	CD36
STAT3	upregulates-expression	TP63
ESR1	downregulates-expression	COL1A2
CDAN1	upregulates-expression	E2F1
TP73	upregulates-expression	NSG1
ELK1	upregulates-expression	FOSL1
ALB	upregulates-expression	HNF1A
OSCAR	upregulates-expression	MITF
BCL6	downregulates-expression	IGHE
SOX9	upregulates-expression	MIA
JUND	upregulates-expression	MYC
GATA1	downregulates-expression	PTGFR
VDR	upregulates-expression	NCOR1
SPI1	upregulates-expression	LYZ
CREB1	upregulates-expression	GZMB
SUPT4H1	upregulates-expression	ATM
SUPT4H1	upregulates-expression	ATR
POU2F1	downregulates-expression	IL4
PML	upregulates-expression	GRIP1
CARM1	upregulates-expression	ME1
STAT6	upregulates-expression	GATA3
SP1	upregulates-expression	OPRM1
OPRM1	upregulates-expression	SP1
SP3	upregulates-expression	OPRM1
DPEP1	upregulates-expression	CTNNB1
HOXA10	downregulates-expression	CDKN1C
NR1I2	upregulates-expression	TNFRSF12A
SPI1	upregulates-expression	CXCR1
TP53	upregulates-expression	RECQL4
GAPDH	upregulates-expression	HIF1A
JUNB	upregulates-expression	MGP
TP63	upregulates-expression	COL5A1
TBPL1	upregulates-expression	NF1
MYC	upregulates-expression	TNFRSF10B
SNW1	upregulates-expression	MYC
HMGB2	upregulates-expression	GFI1B
HDAC9	upregulates-expression	CDKN2A
NFKB1	upregulates-expression	IL23A
NFKB1	upregulates-expression	IL1RN
GATA4	downregulates-expression	ERBB2
HELZ2	upregulates-expression	GLIPR1
ELOA2	upregulates-expression	MDC1
HDAC7	upregulates-expression	CDKN1A
ELOA3	upregulates-expression	MDC1
MED13L	upregulates-expression	CD36
SREBF1	upregulates-expression	HMGCR
HMGCR	upregulates-expression	SREBF1
SREBF2	upregulates-expression	HMGCR
SFRP1	upregulates-expression	GLI1
GLI1	upregulates-expression	SFRP1
NR4A3	downregulates-expression	PPARG
HSF1	upregulates-expression	SERPINE1
JUN	upregulates-expression	ABCB1
FOXO1	upregulates-expression	ADIPOR1
PPARG	upregulates-expression	ACAT1
CRTC1	upregulates-expression	PER1
HNF4G	upregulates-expression	AFP
HIF1A	upregulates-expression	ZNF217
HNF4A	upregulates-expression	AFP
ETV6	downregulates-expression	MAD2L1
TFDP2	upregulates-expression	TYMS
PPARA	upregulates-expression	CYP1A1
TFDP1	upregulates-expression	TYMS
MAX	downregulates-expression	E2F1
LONP1	upregulates-expression	STAT5A
LONP1	upregulates-expression	STAT5B
MGA	downregulates-expression	E2F1
TFRC	upregulates-expression	HIF1A
HIF1A	upregulates-expression	TFRC
FOXF2	downregulates-expression	PSG7
HELZ2	upregulates-expression	FADS1
RUNX1	downregulates-expression	MYH10
KLF4	upregulates-expression	BDKRB2
ING4	downregulates-expression	SPP1
KAT5	upregulates-expression	CAD
UBE3A	upregulates-expression	KLK3
PPARG	upregulates-expression	TP53
KLF5	upregulates-expression	HIF1A
ESR1	upregulates-expression	CD82
FOXM1	upregulates-expression	BIRC5
VDR	downregulates-expression	IL12B
CCNT2	upregulates-expression	BRCA1
CCNT1	upregulates-expression	BRCA1
KLK3	upregulates-expression	HIF1A
HIF1A	upregulates-expression	TFF3
EP300	upregulates-expression	IGFBP3
PARP1	upregulates-expression	ZEB1
IL2RA	upregulates-expression	NFKB1
IL6ST	upregulates-expression	STAT5A
IL6ST	upregulates-expression	STAT5B
FANCD2	upregulates-expression	ATR
ATR	upregulates-expression	FANCD2
FANCD2	upregulates-expression	ATM
ATM	upregulates-expression	FANCD2
STAT5B	upregulates-expression	IL2RA
SLC16A1	upregulates-expression	FOXO1
STAT5A	upregulates-expression	IL2RA
SP1	upregulates-expression	SKP2
FAM120B	upregulates-expression	ANGPTL4
HDGF	downregulates-expression	CDH1
SATB1	upregulates-expression	FOXO3
RELA	upregulates-expression	PROX1
POU5F1	downregulates-expression	HLX
KDM3A	upregulates-expression	NKX3-1
SP1	upregulates-expression	PLAUR
TCF7L2	upregulates-expression	INCENP
FABP2	upregulates-expression	HNF1A
CEACAM5	upregulates-expression	CTNNB1
CEACAM6	upregulates-expression	CTNNB1
CEACAM1	upregulates-expression	CTNNB1
CD3D	upregulates-expression	ETS1
MAX	downregulates-expression	DNTT
ETS1	upregulates-expression	CD8A
EP300	downregulates-expression	CYBB
NR4A1	downregulates-expression	MDM2
PRG4	downregulates-expression	FOXO1
STAT1	upregulates-expression	TLR3
EP300	upregulates-expression	BCL2L11
VDR	upregulates-expression	CALB1
SUPT16H	upregulates-expression	ATM
SUPT16H	upregulates-expression	ATR
HNF1A	upregulates-expression	UGT2B17
STAT1	downregulates-expression	NR1H4
EPAS1	upregulates-expression	HIGD1A
PMAIP1	upregulates-expression	MYC
MYC	upregulates-expression	PMAIP1
NFKB1	upregulates-expression	IL17C
NFKB1	upregulates-expression	IL17A
HSD11B1	upregulates-expression	CEBPA
HSD11B1	upregulates-expression	CEBPB
ARNT	upregulates-expression	EFNA1
GLI2	upregulates-expression	WNT2B
EPB41L4A	upregulates-expression	CTNNB1
TF	downregulates-expression	NR2F1
HELZ2	upregulates-expression	FABP1
HELZ2	upregulates-expression	FABP4
PPARA	upregulates-expression	ACADM
HNF4A	upregulates-expression	FABP2
WNT1	downregulates-expression	CEBPA
RXRA	upregulates-expression	APOA5
CNN2	upregulates-expression	CTNNB1
IRF3	upregulates-expression	IFNA1
IRF5	upregulates-expression	IFNA1
IRF7	upregulates-expression	IFNA1
IRF7	upregulates-expression	IFNA2
IRF1	upregulates-expression	IFNA1
PAX3	upregulates-expression	BCL2L1
RXRA	upregulates-expression	APOA1
RXRA	upregulates-expression	APOA2
DHFR	upregulates-expression	E2F1
E2F1	upregulates-expression	DHFR
IRF1	upregulates-expression	IFNB1
IRF2	upregulates-expression	IFNB1
IRF3	upregulates-expression	IFNB1
EP300	upregulates-expression	ALOX15
HIST2H3C	upregulates-expression	KLK2
HIST2H3C	upregulates-expression	KLK3
MYB	upregulates-expression	CASP6
NFKB1	upregulates-expression	IL12A
NFKB1	upregulates-expression	IL12B
SP1	upregulates-expression	DNMT1
LIN9	downregulates-expression	CDC25A
YBX1	downregulates-expression	CCNB1
RARA	downregulates-expression	ABCC3
NELFCD	upregulates-expression	CDKN1A
HELZ2	upregulates-expression	AGT
PITX1	downregulates-expression	NKX3-1
GNAZ	upregulates-expression	AKT3
MAPK6	downregulates-expression	GLI2
TBL1XR1	upregulates-expression	HMGCR
MYC	downregulates-expression	DNTT
HDAC3	downregulates-expression	BGLAP
MECP2	upregulates-expression	OPRK1
RELA	upregulates-expression	TRAF1
SIRT1	upregulates-expression	HYOU1
GATA4	upregulates-expression	FABP2
HELZ2	upregulates-expression	ME1
PTGDR	upregulates-expression	CDC25A
ZIC2	downregulates-expression	TCF4
USF1	upregulates-expression	SLC19A1
USF2	upregulates-expression	SLC19A1
EGF	upregulates-expression	TERT
RORA	upregulates-expression	SREBF1
H19	downregulates-expression	E2F6
FLI1	upregulates-expression	GATA1
TGS1	upregulates-expression	G0S2
HIST1H2BG	upregulates-expression	BCL2
HIST1H2BH	upregulates-expression	BCL2
HIST1H2BA	upregulates-expression	BCL2
HIST1H2BB	upregulates-expression	BCL2
HIST1H2BD	upregulates-expression	BCL2
FOXO1	downregulates-expression	POMC
HIST1H2BM	upregulates-expression	BCL2
HIST1H2BN	upregulates-expression	BCL2
HIST1H2BO	upregulates-expression	BCL2
HIST1H2BJ	upregulates-expression	BCL2
HIST1H2BK	upregulates-expression	BCL2
HIST1H2BL	upregulates-expression	BCL2
MTF1	upregulates-expression	MCAT
HIST1H2AC	upregulates-expression	BCL2
MEF2D	upregulates-expression	ATF3
BRCA1	upregulates-expression	DDB2
CAMK1	upregulates-expression	GLI2
SP1	upregulates-expression	DNASE2
REST	downregulates-expression	GRIN1
SP3	upregulates-expression	DNASE2
HELZ2	upregulates-expression	LPL
CST4	upregulates-expression	CTNNB1
EWSR1	downregulates-expression	TGFBR2
FOXM1	upregulates-expression	ESR1
MED1	upregulates-expression	PEX11A
ABL1	upregulates-expression	CDKN1A
CCPG1	downregulates-expression	GLI1
LMO2	upregulates-expression	CTNNB1
ARNTL	upregulates-expression	NAMPT
ESR1	upregulates-expression	FOXP1
STAT3	upregulates-expression	CDK4
PA2G4	upregulates-expression	AGR2
HNF4A	upregulates-expression	MYC
STAT4	upregulates-expression	GSTA2
MYC	downregulates-expression	DKK1
FAM120B	upregulates-expression	LPL
CBX8	downregulates-expression	CDKN1A
HNF4A	upregulates-expression	NR1I2
UGCG	upregulates-expression	CTNNB1
ATF4	downregulates-expression	IRF7
TCF7	upregulates-expression	AXIN2
CTGF	upregulates-expression	CTNNB1
POU5F1	downregulates-expression	ID2
SP1	downregulates-expression	ITGB3
SP1	downregulates-expression	ITGAV
NFKB1	upregulates-expression	MMP1
NFKB1	upregulates-expression	MMP2
PPARA	upregulates-expression	ACOX1
BTG2	downregulates-expression	HRAS
ESR1	upregulates-expression	FOXA1
S100A4	upregulates-expression	CTNNB1
NCOA1	upregulates-expression	APOA2
NCOA2	upregulates-expression	APOA1
NCOA2	upregulates-expression	APOA2
NCOA1	upregulates-expression	APOA5
NCOA1	upregulates-expression	APOA1
NCOA6	upregulates-expression	APOA5
NCOA2	upregulates-expression	APOA5
NCOA6	upregulates-expression	APOA1
NCOA6	upregulates-expression	APOA2
ING4	downregulates-expression	SKP2
NFKB1	upregulates-expression	NOLC1
SCGB1A1	upregulates-expression	TTF1
NFKB1	upregulates-expression	MMP9
RUNX1	upregulates-expression	OCLN
CBFB	downregulates-expression	CDKN1A
HOXB7	upregulates-expression	EGFR
HDAC11	downregulates-expression	IL17A
RELA	upregulates-expression	ADORA1
KLF15	upregulates-expression	LRP5
TWIST1	downregulates-expression	TIMP1
ELF3	upregulates-expression	SPRR1B
ELF3	upregulates-expression	SPRR2A
MAPK1	upregulates-expression	EGR1
MAPK3	upregulates-expression	EGR1
STAT1	upregulates-expression	CCL3
STAT3	upregulates-expression	CCL2
CCL2	upregulates-expression	STAT3
CCL5	upregulates-expression	STAT1
ZNF638	upregulates-expression	PPARG
COL2A1	downregulates-expression	EGR1
MAPK14	upregulates-expression	TRPV1
NFKBIA	downregulates-expression	TRAF1
STAT6	upregulates-expression	CD74
CEBPA	upregulates-expression	HSD17B11
RB1	downregulates-expression	DHFR
ZBTB33	downregulates-expression	MMP7
TGS1	upregulates-expression	FADS1
RNF187	upregulates-expression	CDK1
STAT1	upregulates-expression	CCR1
VHL	upregulates-expression	SPARC
STAT3	upregulates-expression	CD46
STAT1	upregulates-expression	CD40
NR3C1	downregulates-expression	STAT1
SIRT1	downregulates-expression	MYC
EP300	upregulates-expression	SGK1
STAT1	upregulates-expression	CD22
SUPT16H	upregulates-expression	FANCI
TFAP2A	upregulates-expression	ECM1
TFAP2C	upregulates-expression	ECM1
ERG	downregulates-expression	ICAM1
HDAC2	downregulates-expression	TNFSF10
ZBTB2	downregulates-expression	CDKN1A
SPRR2A	downregulates-expression	GLI2
ZBTB5	downregulates-expression	CDKN1A
JUNB	upregulates-expression	GJA1
ELL	downregulates-expression	E2F1
LHB	downregulates-expression	AR
STAT3	downregulates-expression	FASLG
EHMT2	downregulates-expression	SIAH1
TGS1	upregulates-expression	ANKRD1
GATA4	upregulates-expression	AMH
NR3C1	upregulates-expression	UGT1A1
SMTN	downregulates-expression	RBPJ
DHX15	upregulates-expression	AR
MED9	downregulates-expression	LEP
MED6	downregulates-expression	LEP
MED7	downregulates-expression	LEP
MED8	downregulates-expression	LEP
MED1	downregulates-expression	LEP
MED4	downregulates-expression	LEP
